seed,N,pair,c,routing_F0,routing_Fi,routing_Fj,routing_Fij,F0_to_Fi,F0_to_Fj,F0_to_Fij,Fij_pattern_new,total_routing_changes,gamma_oper
1,50,photo-sketch,0.15,"F,F,F,F","F,F,F,D","D,D,F,D","F,F,F,F",1,3,0,True,4,0.144585325217832
1,50,art_painting-cartoon,0.0,"D,D,F,D","D,D,D,D","D,D,F,D","D,D,D,D",1,0,1,False,2,0.0101820204985183
1,50,art_painting-cartoon,0.02,"D,D,F,D","D,D,D,D","D,D,F,D","D,D,D,D",1,0,1,False,2,0.0101820204985183
1,50,art_painting-cartoon,0.05,"F,F,F,D","D,F,D,D","D,D,F,D","D,D,F,D",2,2,2,False,6,0.0203252785181471
1,50,art_painting-cartoon,0.1,"F,F,F,F","F,F,D,D","D,D,F,D","F,F,F,D",2,3,1,True,6,0.0559343440347295
1,50,art_painting-cartoon,0.15,"F,F,F,F","F,F,F,D","F,D,F,D","F,F,F,D",1,2,1,False,4,0.0941097825340405
1,50,art_painting-sketch,0.0,"D,D,F,D","D,D,D,D","D,D,D,D","D,D,D,D",1,1,1,False,3,0.0125046198692082
1,50,art_painting-sketch,0.02,"D,D,F,D","D,D,D,D","D,D,D,D","D,D,D,D",1,1,1,False,3,0.0175046198692081
1,50,art_painting-sketch,0.05,"F,F,F,D","D,F,D,D","D,D,D,D","D,D,F,D",2,3,2,True,7,0.0328987279484503
1,50,art_painting-sketch,0.1,"F,F,F,F","F,F,D,D","D,D,F,D","F,F,F,F",2,3,0,True,5,0.0700931821040775
1,50,art_painting-sketch,0.15,"F,F,F,F","F,F,F,D","D,D,F,D","F,F,F,F",1,3,0,True,4,0.1208018353096529
1,50,cartoon-sketch,0.0,"D,D,F,D","D,D,F,D","D,D,D,D","D,D,D,D",0,1,1,False,2,0.0101820204985183
1,50,cartoon-sketch,0.02,"D,D,F,D","D,D,F,D","D,D,D,D","D,D,D,D",0,1,1,False,2,0.0101820204985183
1,50,cartoon-sketch,0.05,"F,F,F,D","D,D,F,D","D,D,D,D","D,D,F,D",2,3,2,False,7,0.0178827745484437
1,50,cartoon-sketch,0.1,"F,F,F,F","D,D,F,D","D,D,F,D","D,D,F,D",3,3,3,False,9,0.0616066106609167
1,50,cartoon-sketch,0.15,"F,F,F,F","F,D,F,D","D,D,F,D","D,D,F,D",2,3,3,False,8,0.0990733959546527
1,100,photo-art_painting,0.0,"D,D,F,D","D,D,D,D","D,D,D,D","D,D,D,D",1,1,1,False,3,0.0125046198692082
1,100,photo-art_painting,0.02,"D,D,F,D","D,D,D,D","D,D,D,D","D,D,D,D",1,1,1,False,3,0.0175046198692081
1,100,photo-art_painting,0.05,"F,F,F,D","F,D,D,D","D,F,D,D","F,D,D,D",2,2,2,False,6,0.0293910954169365
1,100,photo-art_painting,0.1,"F,F,F,F","F,D,D,D","F,F,F,D","F,F,F,D",3,1,1,False,5,0.0605094641559229
1,100,photo-art_painting,0.15,"F,F,F,F","F,F,F,D","F,F,F,D","F,F,F,D",1,1,1,False,3,0.0875908082161345
1,100,photo-cartoon,0.0,"D,D,F,D","D,D,D,D","D,D,F,D","D,D,D,D",1,0,1,False,2,0.0107369034686555
1,100,photo-cartoon,0.02,"D,D,F,D","D,D,D,D","D,D,F,D","D,D,F,D",1,0,0,False,1,0.0116852664315926
1,100,photo-cartoon,0.05,"F,F,F,D","F,D,D,D","D,D,F,D","F,D,F,D",2,2,1,True,5,0.0255462975901226
