index,N,pair,c,routing_change,count,mean,std,median,min,max
62,50,cartoon-sketch,0.1,True,5,0.08366610716319146,0.024195139152469708,0.0887428979935636,0.0566011240373336,0.1136464296631262
63,50,cartoon-sketch,0.15,True,5,0.11152153516851418,0.019761532523658355,0.1095022260053185,0.0911719582640159,0.1427651659228076
64,50,photo-art_painting,0.0,False,1,0.0,0.0,0.0,0.0,0.0
65,50,photo-art_painting,0.0,True,4,0.01718424794906,0.006935860030475552,0.01568476441783995,0.0110976250697075,0.0262698378908526
66,50,photo-art_painting,0.02,True,5,0.01808202598489158,0.010516157083631216,0.0198871878570171,0.0014574287887714,0.0304632683397538
67,50,photo-art_painting,0.05,True,5,0.025485417320082842,0.014737357786492907,0.0288348912052832,0.0023234419723544,0.040900705167805
68,50,photo-art_painting,0.1,True,5,0.041130960308126144,0.02198268586232967,0.0453218207145837,0.0118723899381246,0.0685736327326919
69,50,photo-art_painting,0.15,True,5,0.05484791301028784,0.024748066341031362,0.0578218207145838,0.0197283667967756,0.0856976476955565
70,50,photo-cartoon,0.0,True,5,0.01312275150965762,0.008166158197880597,0.0158930279796148,0.0006304245836264,0.0221178782456986
71,50,photo-cartoon,0.02,True,5,0.020523476014368942,0.012384686051509636,0.0238967702133572,0.0049760776276173,0.03179040624083
72,50,photo-cartoon,0.05,True,5,0.03587547437127414,0.019605219770771735,0.0397672011688186,0.0124851781407471,0.0576827687952051
73,50,photo-cartoon,0.1,True,5,0.07562645511174274,0.01988176461076015,0.0772672011688185,0.055863264847651,0.1031513351715933
74,50,photo-cartoon,0.15,True,5,0.10295717213409541,0.021701358047982178,0.0973184117113239,0.0855587481439631,0.1406513351715933
75,50,photo-sketch,0.0,False,1,0.0,0.0,0.0,0.0,0.0
76,50,photo-sketch,0.0,True,4,0.021705051644916977,0.008962696311958448,0.0216735895842433,0.0125046198692082,0.0309684075419731
77,50,photo-sketch,0.02,True,5,0.025309459267312262,0.01773190904137646,0.0257351517221595,-0.0006543469560092,0.0419906864325185
78,50,photo-sketch,0.05,True,5,0.0432370789348904,0.023618129531503867,0.0506070437683523,0.0070309428926783,0.064141605469965
