seed,N,pair,c,gamma_learn,gamma_oper,delta_gamma,delta_class,sign_change,route_interaction_count,route_interaction_l1
2,50,art_painting-cartoon,0.05,0.0927016348850046,0.0467238641299866,-0.045977770755018,ABSORB,False,2,2
2,50,art_painting-cartoon,0.1,0.0927016348850046,0.0717238641299866,-0.020977770755018,ABSORB,False,2,2
2,50,art_painting-cartoon,0.15,0.0927016348850046,0.0855858163933301,-0.007115818491674503,ABSORB,False,1,1
2,50,art_painting-sketch,0.0,0.178716231782526,0.0136904187606617,-0.16502581302186428,ABSORB,False,1,1
2,50,art_painting-sketch,0.02,0.178716231782526,0.0201727577691487,-0.1585434740133773,ABSORB,False,2,3
2,50,art_painting-sketch,0.05,0.178716231782526,0.038953019252188,-0.139763212530338,ABSORB,False,2,2
2,50,art_painting-sketch,0.1,0.178716231782526,0.0666120241695499,-0.1121042076129761,ABSORB,False,2,2
2,50,art_painting-sketch,0.15,0.178716231782526,0.1017701833581108,-0.07694604842441519,ABSORB,False,3,3
2,50,cartoon-sketch,0.0,0.1642735155477657,0.0212008940618551,-0.1430726214859106,ABSORB,False,2,3
2,50,cartoon-sketch,0.02,0.1642735155477657,0.0362008940618552,-0.1280726214859105,ABSORB,False,2,3
2,50,cartoon-sketch,0.05,0.1642735155477657,0.0568055177921895,-0.1074679977555762,ABSORB,False,3,3
2,50,cartoon-sketch,0.1,0.1642735155477657,0.0887428979935636,-0.07553061755420211,ABSORB,False,2,3
2,50,cartoon-sketch,0.15,0.1642735155477657,0.1095022260053185,-0.0547712895424472,ABSORB,False,3,3
2,100,photo-art_painting,0.0,0.033682392571068,0.013989956624099,-0.019692435946968997,ABSORB,False,1,1
