seed,N,domain_i,domain_j,pair,DeltaS_i_photo,DeltaS_j_photo,DeltaS_ij_photo,DeltaS_ij_CM_photo,interaction_S_photo,DeltaS_i_art_painting,DeltaS_j_art_painting,DeltaS_ij_art_painting,DeltaS_ij_CM_art_painting,interaction_S_art_painting,DeltaS_i_cartoon,DeltaS_j_cartoon,DeltaS_ij_cartoon,DeltaS_ij_CM_cartoon,interaction_S_cartoon,DeltaS_i_sketch,DeltaS_j_sketch,DeltaS_ij_sketch,DeltaS_ij_CM_sketch,interaction_S_sketch
1,100,photo,sketch,photo__sketch,0.015130190007037192,-0.4767601247737908,0.00950035186488385,-0.03078817733990158,0.4711302866316375,-0.039029774906780834,-0.45344563083312944,0.012801964636775631,-0.0046741981485556305,0.505277370376686,-0.17389088842829004,-0.24769736425081224,-0.06142810612439853,-0.06953543781361282,0.36016014655470374,-0.24805497036847096,-0.14473565150760004,-0.05480128772737258,-0.012462225046373732,0.3379893341486984
1,100,art_painting,cartoon,art_painting__cartoon,-0.012404590483408251,-0.13734796904986013,-0.02941476924473918,-0.019034755170143747,0.1203377902885292,0.007212289408451422,-0.21129278311973854,-0.02419583288733773,-0.003875308762526841,0.17988466082394938,-0.13943364693905302,-0.08346625367657778,-0.10373766535516338,-0.09171403128841937,0.11916223526046743,-0.18477113725779598,-0.09877014648731697,-0.11707378561810189,-0.10457258333798969,0.16646749812701106
1,100,art_painting,sketch,art_painting__sketch,-0.012404590483408251,-0.4767601247737908,-0.03451681006106566,-0.027251018487312817,0.4546479051961334,0.007212289408451422,-0.45344563083312944,-0.020189124790179647,-0.007873213001705848,0.4260442166344984,-0.13943364693905302,-0.24769736425081224,-0.07258914026524588,-0.06039631686428659,0.3145418709246194,-0.18477113725779598,-0.14473565150760004,0.017605933090547254,0.010677358400337567,0.3471127218559433
1,100,cartoon,sketch,cartoon__sketch,-0.13734796904986013,-0.4767601247737908,-0.22422454392897762,-0.1431196881935799,0.38988354989467333,-0.21129278311973854,-0.45344563083312944,-0.24499266408143083,-0.1779544379028164,0.41974574987143715,-0.08346625367657778,-0.24769736425081224,-0.08120459052768136,-0.04858359130832146,0.24995902739970866,-0.09877014648731697,-0.14473565150760004,-0.01874130458586354,-0.09529654521052355,0.22476449340905347
2,25,photo,art_painting,photo__art_painting,0.010264197138502129,0.02521845470359707,0.02504252226165471,0.015001341038207494,-0.01044012958044449,-0.002119998624426689,0.04835932741109483,0.04246806025551775,0.030687925925163895,-0.0037712685311503957,-0.0771800241710362,-0.020899977701685946,-0.08154714334435142,-0.03346095843543806,0.01653285852837072,-0.122732679611395,-0.055714525572149065,-0.09948644763514314,-0.0903631474955846,0.07896075754840093
2,25,photo,cartoon,photo__cartoon,0.010264197138502129,0.0005067779181875398,0.02539438714553932,0.020103381854533975,0.014623412088849652,-0.002119998624426689,-0.02575419396644829,0.00789298620675949,0.01305338128723521,0.03576717879763447,-0.0771800241710362,-0.010669088372435964,-0.027232205011801236,-0.0017988514399052136,0.06061690753167093,-0.122732679611395,-0.0435691682893965,-0.07924024479610925,-0.07486286375126217,0.08706160310468225
2,25,photo,sketch,photo__sketch,0.010264197138502129,-0.06566988431758813,0.004608294930875667,0.0,0.06001398210996167,-0.002119998624426689,-0.13884122520093445,0.018958895947880028,0.023310823037225092,0.15992011977324117,-0.0771800241710362,-0.025347819294356366,-0.05202468492845036,-0.023559034509993082,0.050503158536942205,-0.122732679611395,0.045646185877462164,0.07779075939754487,0.03326673103275746,0.1548772531314777
2,25,art_painting,cartoon,art_painting__cartoon,0.02521845470359707,0.0005067779181875398,0.02521845470359707,0.020103381854533975,-0.0005067779181875398,0.04835932741109483,-0.02575419396644829,0.051161495469940865,0.028003471210325426,0.028556362025294324,-0.020899977701685946,-0.010669088372435964,-0.01125857598957003,0.001143146481072499,0.02031049008455188,-0.055714525572149065,-0.0435691682893965,0.03743762744104584,0.018037488887138964,0.1367213213025914
2,25,art_painting,sketch,art_painting__sketch,0.02521845470359707,-0.06566988431758813,-0.009839184716031957,0.00017593244194236135,0.030612244897959107,0.04835932741109483,-0.13884122520093445,0.037461470005209496,5.9561428270460404e-05,0.1279433677950491,-0.020899977701685946,-0.025347819294356366,-0.03870143832075745,-0.020186735326357286,0.007546358675284859,-0.055714525572149065,0.045646185877462164,0.0423406683599411,0.05331407468517657,0.052409008054628003
2,25,cartoon,sketch,cartoon__sketch,0.0005067779181875398,-0.06566988431758813,-0.004230365981518047,-0.004419330456196802,0.06093274041788255,-0.02575419396644829,-0.13884122520093445,-0.04656549587430159,-0.01756029934444525,0.11802992329308115,-0.010669088372435964,-0.025347819294356366,-0.013508743160548509,-0.0066572266118939405,0.022508164506243822,-0.0435691682893965,0.045646185877462164,-0.012869229263133053,0.009539362221688386,-0.014946246851198719
2,50,photo,art_painting,photo__art_painting,0.029603733719417935,0.01536623795482861,0.02504252226165471,0.02011641388727048,-0.019927449412591836,-0.0016645321382884326,0.0436495382495814,0.02473538480090398,0.03780198329841922,-0.017249621310388985,-0.12970407866890743,-0.04367255129515024,-0.07744978498433541,-0.08608143349617425,0.09592684497972226,-0.15927632895792887,0.010201430179814008,-0.08174400244886226,-0.09132367092476557,0.0673308963292526
2,50,photo,cartoon,photo__cartoon,0.029603733719417935,-0.019867333906742668,0.029779666161360296,0.015190305512886249,0.02004326634868503,-0.0016645321382884326,-0.0667078853845362,0.02827935991230668,0.015705515914314017,0.09665177743513131,-0.12970407866890743,-0.03825839380628138,-0.048754685732499525,-0.01852996600706247,0.11920778674268928,-0.15927632895792887,-0.035757528132453587,-0.029367126684215705,-0.08099749709283588,0.16566673040616675
2,50,photo,sketch,photo__sketch,0.029603733719417935,-0.22399882136096982,0.004067465572312301,0.004432362488933417,0.1984625532138642,-0.0016645321382884326,-0.3253893103054311,0.034730851157519504,0.03798840085469779,0.36178469360123905,-0.12970407866890743,-0.0662367968558093,-0.031016005158127857,-0.035082562837857156,0.16492487036658887,-0.15927632895792887,0.04663787214725612,0.046837799875549035,0.05918383116445003,0.15947625668622178
2,50,art_painting,cartoon,art_painting__cartoon,0.01536623795482861,-0.019867333906742668,-0.004338195542708423,0.02521845470359707,0.0001629004092056352,0.0436495382495814,-0.0667078853845362,0.025069761346670938,0.027661569183636936,0.04812810848162574,-0.04367255129515024,-0.03825839380628138,-0.06991251617778305,-0.02968863428954993,0.012018428923648572,0.010201430179814008,-0.035757528132453587,0.011596259189292302,-0.026634214927078514,0.03715235714193188
2,50,art_painting,sketch,art_painting__sketch,0.01536623795482861,-0.22399882136096982,-0.010170030192277135,0.004290481487366993,0.19846255321386408,0.0436495382495814,-0.3253893103054311,-0.0016563088274516025,0.0029815380524573776,0.2800834632283981,-0.04367255129515024,-0.0662367968558093,-0.054079335843896015,-0.016035048823152653,0.055830012307063526,0.010201430179814008,0.04663787214725612,0.09086542830823796,0.09678163048860422,0.03402612598116783
2,50,cartoon,sketch,cartoon__sketch,-0.019867333906742668,-0.22399882136096982,-0.05422124355860247,-0.014589360648473826,0.18964491170911002,-0.0667078853845362,-0.3253893103054311,-0.1550957497101929,-0.057139049381111584,0.2370014459797744,-0.03825839380628138,-0.0662367968558093,-0.031156761882990214,-0.02453321070161041,0.07333842877910046,-0.035757528132453587,0.04663787214725612,0.01876198469775403,0.05976016127462336,0.007881640682951496
2,100,photo,art_painting,photo__art_painting,0.029603733719417935,0.015873015873015928,0.010406078140068331,0.015332186514452562,-0.03507067145236553,-0.014080221557361994,0.028437088520607667,0.028024137711660124,0.038413902212591555,0.01366727074841445,-0.10734158065208044,-0.1252008159218193,-0.08855001048332689,-0.11267500791326845,0.14399238609057285,-0.12248044082780218,-0.10493664510401901,-0.09757721002483088,-0.15861673934702192,0.1298398759069903
2,100,photo,cartoon,photo__cartoon,0.029603733719417935,-0.08344704832866279,0.015001341038207494,0.02539438714553932,0.06884465564745235,-0.014080221557361994,-0.14949261011972526,0.02402822855339215,0.026097354857524513,0.1876010602304794,-0.10734158065208044,-0.07926728454547172,-0.04172866463101077,-0.05085411636657755,0.14488020056654138,-0.12248044082780218,-0.0832599017476141,-0.049894496327055005,-0.06001586476273313,0.15584584624836129
