seed,N,intervention_domain,c,DeltaS_photo,DeltaS_art_painting,DeltaS_cartoon,DeltaS_sketch,DeltaS_local,DeltaS_cross_mean,DeltaS_cross_sum,cross_domains_improved,cross_domains_worsened,cross_domains_zero,singleton_class,cross_loss_exceeds_local_gain,DeltaV_contribution_photo,DeltaV_contribution_art_painting,DeltaV_contribution_cartoon,DeltaV_contribution_sketch,DeltaV_local_learning,DeltaV_cross_learning,DeltaV_routing_adjustment,DeltaV,negative_dominant_term
0,50,sketch,0.0,-0.19047306343508486,-0.4323993174122228,-0.10540978504517617,-0.15181890651330787,-0.15181890651330787,-0.2427607219641613,-0.7282821658924838,0,3,0,C,False,0.0,-0.014705562769753128,-0.0010295889524064572,0.0,-0.03795472662832697,-0.18207054147312096,0.20429011637928834,-0.015735151722159585,cross_loss
0,50,sketch,0.02,-0.19047306343508486,-0.4323993174122228,-0.10540978504517617,-0.15181890651330787,-0.15181890651330787,-0.2427607219641613,-0.7282821658924838,0,3,0,C,False,0.0,-0.019705562769753132,-0.006029588952406462,0.0,-0.03795472662832697,-0.18207054147312096,0.19429011637928834,-0.025735151722159594,cross_loss
0,50,sketch,0.05,-0.19047306343508486,-0.4323993174122228,-0.10540978504517617,-0.15181890651330787,-0.15181890651330787,-0.2427607219641613,-0.7282821658924838,0,3,0,C,False,0.0,-0.02720556276975314,-0.013529588952406468,-0.003624332737084013,-0.03795472662832697,-0.18207054147312096,0.1756657836422043,-0.04435948445924362,cross_loss
0,50,sketch,0.1,-0.19047306343508486,-0.4323993174122228,-0.10540978504517617,-0.15181890651330787,-0.15181890651330787,-0.2427607219641613,-0.7282821658924838,0,3,0,C,False,-0.011015367709313412,-0.03970556276975312,-0.02602958895240645,-0.016124332737083996,-0.03795472662832697,-0.18207054147312096,0.12715041593289095,-0.09287485216855698,cross_loss
0,50,sketch,0.15,-0.19047306343508486,-0.4323993174122228,-0.10540978504517617,-0.15181890651330787,-0.15181890651330787,-0.2427607219641613,-0.7282821658924838,0,3,0,C,False,-0.023515367709313423,-0.05220556276975313,-0.026352446261294044,-0.028624332737084007,-0.03795472662832697,-0.18207054147312096,0.08932755862400332,-0.1306977094774446,cross_loss
0,100,art_painting,0.0,0.0020821825207647526,-0.0513828993236467,-0.1478704950914712,-0.15170495566394004,-0.0513828993236467,-0.09916442274488217,-0.2974932682346465,1,2,0,C,False,0.0,-0.012845724830911676,-0.0010295889524064572,0.0,-0.012845724830911676,-0.07437331705866163,0.07334372810625517,-0.013875313783318133,cross_loss
0,100,art_painting,0.02,0.0020821825207647526,-0.0513828993236467,-0.1478704950914712,-0.15170495566394004,-0.0513828993236467,-0.09916442274488217,-0.2974932682346465,1,2,0,C,False,0.0,-0.012845724830911676,-0.006029588952406462,0.0,-0.012845724830911676,-0.07437331705866163,0.06834372810625516,-0.018875313783318137,cross_loss
0,100,art_painting,0.05,0.0020821825207647526,-0.0513828993236467,-0.1478704950914712,-0.15170495566394004,-0.0513828993236467,-0.09916442274488217,-0.2974932682346465,1,2,0,C,False,0.0,-0.012845724830911676,-0.013529588952406468,-0.003624332737084013,-0.012845724830911676,-0.07437331705866163,0.057219395369171144,-0.029999646520402157,cross_loss
0,100,art_painting,0.1,0.0020821825207647526,-0.0513828993236467,-0.1478704950914712,-0.15170495566394004,-0.0513828993236467,-0.09916442274488217,-0.2974932682346465,1,2,0,C,False,0.0005205456301911882,-0.012845724830911676,-0.02602958895240645,-0.016124332737083996,-0.012845724830911676,-0.07437331705866163,0.032739940999362366,-0.054479100890210935,cross_loss
0,100,art_painting,0.15,0.0020821825207647526,-0.0513828993236467,-0.1478704950914712,-0.15170495566394004,-0.0513828993236467,-0.09916442274488217,-0.2974932682346465,1,2,0,C,False,0.0005205456301911882,-0.012845724830911676,-0.0369676237728678,-0.028624332737084007,-0.012845724830911676,-0.07437331705866163,0.009301906178901004,-0.0779171357106723,cross_loss
