state_type,seed,evaluation_split,test_used,ba_photo,ba_art_painting,ba_cartoon,ba_sketch,N,domain,domain_i,domain_j
Fij_CM,0,validation,False,0.9200325044119736,0.7559571458853246,0.6604157267024803,0.5180191802051516,100.0,,photo,art_painting
Fij_CM,0,validation,False,0.9092745613880208,0.7618968351938838,0.7866524485057438,0.755655887923571,100.0,,photo,cartoon
Fij_CM,0,validation,False,0.8985767338699169,0.7694018272404536,0.7555420216518042,0.6271464945877377,100.0,,photo,sketch
Fij_CM,0,validation,False,0.9041725205716943,0.7848605166077952,0.7882634866355521,0.7444013403977079,25.0,,art_painting,cartoon
Fij_CM,0,validation,False,0.8989285987538013,0.7758756343595307,0.7953212667188588,0.7673310027844352,25.0,,art_painting,sketch
Fij_CM,0,validation,False,0.8692300675059296,0.7334365587030833,0.8114212032557723,0.7370863535709083,25.0,,cartoon,sketch
Fij_CM,0,validation,False,0.9247696483116792,0.7616782717276488,0.7336901579684023,0.6530270091013385,25.0,,photo,art_painting
Fij_CM,0,validation,False,0.9043484530136366,0.7774461028192372,0.7835634885693413,0.7348525868963078,25.0,,photo,cartoon
Fij_CM,0,validation,False,0.8940024903794171,0.7755500157643577,0.7882327929048861,0.758990875089715,25.0,,photo,sketch
Fij_CM,0,validation,False,0.9041725205716943,0.7908035903547068,0.7973575696769472,0.7205933669291646,50.0,,art_painting,cartoon
Fij_CM,0,validation,False,0.8938265579374748,0.7796089370547905,0.7935627494489271,0.7325052647343082,50.0,,art_painting,sketch
Fij_CM,0,validation,False,0.8336786822008497,0.6975630262578978,0.8121181860471066,0.7388458667161492,50.0,,cartoon,sketch
Fij_CM,0,validation,False,0.9242288189531157,0.7699508187668888,0.6967480201685383,0.598142973405799,50.0,,photo,art_painting
Fij_CM,0,validation,False,0.9043484530136366,0.7686719463904966,0.7809382122244629,0.714097757862226,50.0,,photo,cartoon
Fij_CM,0,validation,False,0.9089567479445121,0.7852763572043114,0.7645939275139549,0.6789422388381395,50.0,,photo,sketch
Fij_CM,1,validation,False,0.8995637923176458,0.7068467025935323,0.751386809245757,0.5389312559455633,100.0,,art_painting,cartoon
Fij_CM,1,validation,False,0.8913475290004768,0.7028487983543533,0.7827045236698897,0.6541811976838906,100.0,,art_painting,sketch
