seed,N,domain_i,domain_j,pair,c,V_F0,V_Fij,V_Fij_CM,DeltaV_ij,DeltaV_ij_CM,D_dose,routing_Fij_CM
0,100,photo,sketch,photo__sketch,0.05,0.8201570968646186,0.7920901873038863,0.7971260311779638,-0.028066909560732323,-0.023031065686654806,-0.005035843874077517,"D,F,D,D"
0,100,photo,sketch,photo__sketch,0.1,0.818672464573932,0.7723818490901547,0.7791020752993276,-0.04629061548377722,-0.03957038927460432,-0.006720226209172897,"F,F,F,D"
0,100,photo,sketch,photo__sketch,0.15,0.818672464573932,0.7674502932443835,0.7666020752993277,-0.05122217132954843,-0.05207038927460428,0.0008482179450558514,"F,F,F,D"
0,100,art_painting,cartoon,art_painting__cartoon,0.0,0.8415327641275345,0.825797612405375,0.8313974551180557,-0.015735151722159557,-0.010135309009478788,-0.005599842712680769,"D,F,D,D"
0,100,art_painting,cartoon,art_painting__cartoon,0.02,0.8315327641275345,0.8087553042540443,0.8163974551180557,-0.022777459873490224,-0.015135309009478792,-0.007642150864011432,"D,F,D,D"
0,100,art_painting,cartoon,art_painting__cartoon,0.05,0.8201570968646186,0.7862553042540441,0.8022167184733076,-0.033901792610574466,-0.017940378391311018,-0.015961414219263448,"D,F,F,F"
0,100,art_painting,cartoon,art_painting__cartoon,0.1,0.818672464573932,0.7681729486852602,0.7959766553982691,-0.05049951588867174,-0.02269580917566283,-0.027803706713008913,"F,F,F,F"
0,100,art_painting,cartoon,art_painting__cartoon,0.15,0.818672464573932,0.7681078305603932,0.7959766553982691,-0.05056463401353872,-0.02269580917566283,-0.027868824837875894,"F,F,F,F"
0,100,art_painting,sketch,art_painting__sketch,0.0,0.8415327641275345,0.825797612405375,0.8283457382281052,-0.015735151722159557,-0.013187025899429328,-0.0025481258227302295,"D,F,D,D"
0,100,art_painting,sketch,art_painting__sketch,0.02,0.8315327641275345,0.8064560237143867,0.8158681661044481,-0.02507674041314778,-0.015664598023086396,-0.009412142390061384,"D,F,F,D"
0,100,art_painting,sketch,art_painting__sketch,0.05,0.8201570968646186,0.7860760861799784,0.8008681661044481,-0.0340810106846402,-0.019288930760170464,-0.014792079924469737,"D,F,F,D"
