seed,domain,N,method,c,V_F0,V,DeltaV,routing_F0,routing,DeltaV_contribution_photo,DeltaV_contribution_art_painting,DeltaV_contribution_cartoon,DeltaV_contribution_sketch
0,cartoon,50,STD,0.1,0.818672464573932,0.7787676185597077,-0.03990484601422428,"F,F,F,F","D,F,F,F",-0.011015367709313356,-0.015947896571563952,-0.00402509474681545,-0.008916486986531386
0,cartoon,50,STD,0.15,0.818672464573932,0.7748287287039262,-0.043843735870005784,"F,F,F,F","F,F,F,F",-0.014954257565095025,-0.015947896571563952,-0.00402509474681545,-0.008916486986531386
0,cartoon,50,O50,0.0,0.8415327641275345,0.825797612405375,-0.015735151722159557,"D,F,F,D","D,D,D,D",0.0,-0.014705562769753128,-0.0010295889524064572,0.0
0,cartoon,50,O50,0.02,0.8315327641275345,0.805797612405375,-0.025735151722159566,"D,F,F,D","D,D,D,D",0.0,-0.019705562769753132,-0.006029588952406462,0.0
0,cartoon,50,O50,0.05,0.8201570968646186,0.788648332723973,-0.03150876414064563,"D,F,F,F","D,F,F,F",0.0,-0.021215529940701056,-0.006801161437863412,-0.0034920727620810776
0,cartoon,50,O50,0.1,0.818672464573932,0.7797305547612244,-0.03894190981270751,"F,F,F,F","F,F,F,F",-0.007433145672061936,-0.021215529940701056,-0.006801161437863412,-0.0034920727620810776
0,cartoon,50,O50,0.15,0.818672464573932,0.7797305547612244,-0.03894190981270751,"F,F,F,F","F,F,F,F",-0.007433145672061936,-0.021215529940701056,-0.006801161437863412,-0.0034920727620810776
0,cartoon,50,REP,0.0,0.8415327641275345,0.8370819554584871,-0.004450808669047457,"D,F,F,D","D,F,F,D",0.0,-0.004763775109415336,0.00031296644036785115,0.0
0,cartoon,50,REP,0.02,0.8315327641275345,0.8270819554584871,-0.004450808669047457,"D,F,F,D","D,F,F,D",0.0,-0.004763775109415336,0.00031296644036785115,0.0
0,cartoon,50,REP,0.05,0.8201570968646186,0.8130250480702129,-0.007132048794405654,"D,F,F,F","D,F,F,F",0.0,-0.004763775109415336,0.00031296644036785115,-0.0026812401253580864
0,cartoon,50,REP,0.1,0.818672464573932,0.8103443589363218,-0.008328105637610106,"F,F,F,F","F,F,F,F",-0.0011960568432044794,-0.004763775109415336,0.00031296644036785115,-0.0026812401253580864
0,cartoon,50,REP,0.15,0.818672464573932,0.8103443589363218,-0.008328105637610106,"F,F,F,F","F,F,F,F",-0.0011960568432044794,-0.004763775109415336,0.00031296644036785115,-0.0026812401253580864
0,cartoon,50,REP2,0.0,0.8415327641275345,0.8323279752706049,-0.009204788856929658,"D,F,F,D","D,F,D,D",0.0,-0.0081751999045232,-0.0010295889524064572,0.0
0,cartoon,50,REP2,0.02,0.8315327641275345,0.8180666549030893,-0.013466109224445244,"D,F,F,D","D,F,F,D",0.0,-0.0081751999045232,-0.005290909319922071,0.0
0,cartoon,50,REP2,0.05,0.8201570968646186,0.8093449711898547,-0.010812125674763862,"D,F,F,F","D,F,F,F",0.0,-0.0081751999045232,-0.005290909319922071,0.0026539835496814934
0,cartoon,50,REP2,0.1,0.818672464573932,0.8030051710255671,-0.015667293548364825,"F,F,F,F","F,F,F,F",-0.004855167873601074,-0.0081751999045232,-0.005290909319922071,0.0026539835496814934
