seed,domain,N,c,O50,REP,REP2,STD,DeltaQ,O50_minus_STD,REP_minus_STD,REP2_minus_STD,REP2_minus_O50,REP2_minus_REP,DeltaI,DeltaL,G_cross_recovered,local_sacrifice,cross_recovery_exceeds_local_sacrifice,G_plus_DeltaL
0,cartoon,50,0.0,-0.015735151722159557,-0.004450808669047457,-0.009204788856929658,-0.015735151722159557,0.0112843430531121,0.0,0.0112843430531121,0.0065303628652298995,0.0065303628652298995,-0.004753980187882201,-0.09399870518746467,0.028456511512925053,0.09399870518746467,0.0,False,0.12245521670038972
0,cartoon,50,0.02,-0.025735151722159566,-0.004450808669047457,-0.013466109224445244,-0.019972991318379374,0.02128434305311211,-0.005762160403780192,0.015522182649331917,0.00650688209393413,0.012269042497714322,-0.009015300555397787,-0.09399870518746467,0.028456511512925053,0.09399870518746467,0.0,False,0.12245521670038972
0,cartoon,50,0.05,-0.03150876414064563,-0.007132048794405654,-0.010812125674763862,-0.023597324055463553,0.024376715346239974,-0.007911440085182075,0.0164652752610579,0.012785198380699692,0.020696638465881767,-0.0036800768803582073,-0.09399870518746467,0.028456511512925053,0.09399870518746467,0.0,False,0.12245521670038972
0,cartoon,50,0.1,-0.03894190981270751,-0.008328105637610106,-0.015667293548364825,-0.03990484601422428,0.030613804175097403,0.0009629362015167731,0.031576740376614176,0.024237552465859458,0.023274616264342685,-0.007339187910754719,-0.09399870518746467,0.028456511512925053,0.09399870518746467,0.0,False,0.12245521670038972
0,cartoon,50,0.15,-0.03894190981270751,-0.008328105637610106,-0.015667293548364825,-0.043843735870005784,0.030613804175097403,0.004901826057298275,0.03551563023239568,0.02817644232164096,0.023274616264342685,-0.007339187910754719,-0.09399870518746467,0.028456511512925053,0.09399870518746467,0.0,False,0.12245521670038972
0,cartoon,100,0.0,-0.015735151722159557,-0.01055190665141581,-0.011357959630345027,-0.015735151722159557,0.005183245070743747,0.0,0.005183245070743747,0.00437719209181453,0.00437719209181453,-0.000806052978929217,-0.35509384322718696,0.046821891869106236,0.35509384322718696,0.0,False,0.4019157350962932
0,cartoon,100,0.02,-0.025735151722159566,-0.011854732793437739,-0.013353582774626949,-0.025735151722159566,0.013880418928721827,0.0,0.013880418928721827,0.012381568947532617,0.012381568947532617,-0.0014988499811892098,-0.35509384322718696,0.046821891869106236,0.35509384322718696,0.0,False,0.4019157350962932
0,cartoon,100,0.05,-0.04435948445924376,-0.007979065530521856,-0.016977915511711128,-0.03866624490398396,0.0363804189287219,-0.005693239555259799,0.030687179373462103,0.02168832939227283,0.02738156894753263,-0.008998849981189272,-0.35509384322718696,0.046821891869106236,0.35509384322718696,0.0,False,0.4019157350962932
0,cartoon,100,0.1,-0.08274846003452196,-0.007899612169644743,-0.028155164188959803,-0.05678955741526692,0.07484884786487722,-0.025958902619255042,0.04888994524562218,0.02863439322630712,0.05459329584556216,-0.02025555201931506,-0.35509384322718696,0.046821891869106236,0.35509384322718696,0.0,False,0.4019157350962932
0,cartoon,100,0.15,-0.10666772759959431,-0.007899612169644743,-0.03989674139821209,-0.06191924926234316,0.09876811542994957,-0.04474847833725115,0.054019637092698414,0.02202250786413107,0.06677098620138222,-0.031997129228567345,-0.35509384322718696,0.046821891869106236,0.35509384322718696,0.0,False,0.4019157350962932
0,photo,25,0.0,-0.015614892830438376,-0.00391413240057914,-0.005122978075534079,-0.014200642919947826,0.011700760429859236,-0.0014142499104905504,0.010286510519368686,0.009077664844413746,0.010491914754904297,-0.0012088456749549392,-0.10979991003751566,-0.011251688909403867,0.10979991003751566,0.011251688909403867,True,0.09854822112811179
0,photo,25,0.02,-0.02061489283043838,-0.008914132400579144,-0.010122978075534084,-0.01920064291994783,0.011700760429859236,-0.0014142499104905504,0.010286510519368686,0.009077664844413746,0.010491914754904297,-0.0012088456749549392,-0.10979991003751566,-0.011251688909403867,0.10979991003751566,0.011251688909403867,True,0.09854822112811179
0,photo,25,0.05,-0.027824444972303408,-0.018042681262747107,-0.021247310812618214,-0.026410195061812858,0.009781763709556301,-0.0014142499104905504,0.008367513799065751,0.005162884249194644,0.006577134159685194,-0.0032046295498711075,-0.10979991003751566,-0.011251688909403867,0.10979991003751566,0.011251688909403867,True,0.09854822112811179
0,photo,25,0.1,-0.04752662012577291,-0.026622908501543696,-0.03740684005996764,-0.046180346260132676,0.020903711624229215,-0.001346273865640235,0.01955743775858898,0.008773506200165038,0.010119780065805273,-0.010783931558423943,-0.10979991003751566,-0.011251688909403867,0.10979991003751566,0.011251688909403867,True,0.09854822112811179
0,photo,25,0.15,-0.05125996378357167,-0.026622908501543696,-0.04675765553758782,-0.05868034626013274,0.024637055282027975,0.0074203824765610715,0.03205743775858905,0.011922690722544926,0.004502308245983855,-0.02013474703604412,-0.10979991003751566,-0.011251688909403867,0.10979991003751566,0.011251688909403867,True,0.09854822112811179
0,photo,50,0.0,-0.015735151722159557,-0.0038241553256957994,-0.007168537068966474,-0.015735151722159557,0.011910996396463758,0.0,0.011910996396463758,0.008566614653193083,0.008566614653193083,-0.0033443817432706746,-0.2523092527038455,-0.020927973216229967,0.2523092527038455,0.020927973216229967,True,0.23138127948761555
0,photo,50,0.02,-0.02215790726061473,-0.008824155325695804,-0.012168537068966478,-0.022404058352630596,0.013333751934918925,0.00024615109201586716,0.013579903026934792,0.010235521283664117,0.00998937019164825,-0.0033443817432706746,-0.2523092527038455,-0.020927973216229967,0.2523092527038455,0.020927973216229967,True,0.23138127948761555
