seed,domain,N,method,DeltaS_local,DeltaS_cross,I,evaluation_split,test_used,S_F0_photo,S_photo,DeltaS_photo,S_F0_art_painting,S_art_painting,DeltaS_art_painting,S_F0_cartoon,S_cartoon,DeltaS_cartoon,S_F0_sketch,S_sketch,DeltaS_sketch
0,cartoon,50,STD,-0.0161003789872618,-0.15927456449276145,0.15927456449276145,validation,False,0.9086389345010035,0.8488219042406234,-0.0598170302603801,0.7929104032291104,0.7291188169428546,-0.06379158628625581,0.8157554711821414,0.7996550921948796,-0.0161003789872618,0.7573850493834721,0.7217191014373465,-0.03566594794612554
0,cartoon,50,O50,-0.02720464575145365,-0.12856299349937628,0.12856299349937628,validation,False,0.9086389345010035,0.8789063518127558,-0.029732582688247744,0.7929104032291104,0.7080482834663062,-0.08486211976280422,0.8157554711821414,0.7885508254306878,-0.02720464575145365,0.7573850493834721,0.7434167583351478,-0.01396829104832431
0,cartoon,50,REP,0.0012518657614714046,-0.034564288311911606,0.034564288311911606,validation,False,0.9086389345010035,0.9038547071281856,-0.0047842273728179174,0.7929104032291104,0.7738553027914491,-0.019055100437661343,0.8157554711821414,0.8170073369436128,0.0012518657614714046,0.7573850493834721,0.7466600888820397,-0.010724960501432346
0,cartoon,50,REP2,-0.021163637279688285,-0.041505536913771124,0.041505536913771124,validation,False,0.9086389345010035,0.8892182630065992,-0.019420671494404296,0.7929104032291104,0.7602096036110176,-0.0327007996180928,0.8157554711821414,0.7945918339024531,-0.021163637279688285,0.7573850493834721,0.768000983582198,0.010615934198725974
0,sketch,50,STD,-0.15181890651330787,-0.7282821658924837,0.7282821658924837,validation,False,0.9086389345010035,0.7181658710659188,-0.19047306343508474,0.7929104032291104,0.3605110858168876,-0.4323993174122228,0.8157554711821414,0.7103456861369652,-0.10540978504517617,0.7573850493834721,0.6055661428701642,-0.15181890651330787
0,sketch,50,O50,-0.23237991700497185,-0.7190156940449102,0.7190156940449102,validation,False,0.9086389345010035,0.670995193281861,-0.23764374121914256,0.7929104032291104,0.4169591533916525,-0.3759512498374579,0.8157554711821414,0.7103347681938318,-0.10542070298830963,0.7573850493834721,0.5250051323785002,-0.23237991700497185
0,sketch,50,REP,-0.13261296458868754,-0.08481538582190384,0.08481538582190384,validation,False,0.9086389345010035,0.8693719485074959,-0.03926698599350764,0.7929104032291104,0.7541009595773371,-0.0388094436517733,0.8157554711821414,0.8090165150055185,-0.006738956176622901,0.7573850493834721,0.6247720847947845,-0.13261296458868754
0,sketch,50,REP2,-0.18605042906620728,-0.1439436318863161,0.1439436318863161,validation,False,0.9086389345010035,0.8545936233843433,-0.05404531111666022,0.7929104032291104,0.7183546107628702,-0.07455579246624022,0.8157554711821414,0.8004129428787258,-0.015342528303415648,0.7573850493834721,0.5713346203172648,-0.18605042906620728
0,photo,100,STD,0.01546103548328237,-0.4945549536320788,0.4945549536320788,validation,False,0.9086389345010035,0.9240999699842859,0.01546103548328237,0.7929104032291104,0.6902291264764612,-0.10268127675264926,0.8157554711821414,0.6322790591954578,-0.18347641198668363,0.7573850493834721,0.5489877844907262,-0.2083972648927459
0,photo,100,O50,0.005243921817892905,-0.4703323923251598,0.4703323923251598,validation,False,0.9086389345010035,0.9138828563188964,0.005243921817892905,0.7929104032291104,0.702851478376111,-0.09005892485299949,0.8157554711821414,0.6270855300520392,-0.18866994113010227,0.7573850493834721,0.565781523041414,-0.19160352634205802
0,photo,100,REP,0.010170030192277024,-0.08126594383245567,0.08126594383245567,validation,False,0.9086389345010035,0.9188089646932805,0.010170030192277024,0.7929104032291104,0.7616216269173287,-0.03128877631178173,0.8157554711821414,0.7806385469517164,-0.035116924230425006,0.7573850493834721,0.7425248060932231,-0.014860243290248931
0,photo,100,REP2,0.025678149148671947,-0.1890098947097767,0.1890098947097767,validation,False,0.9086389345010035,0.9343170836496755,0.025678149148671947,0.7929104032291104,0.7559045980266943,-0.03700580520241614,0.8157554711821414,0.7898059324834605,-0.025949538698680885,0.7573850493834721,0.6313304985747924,-0.12605455080867967
0,art_painting,100,STD,-0.0513828993236467,-0.2974932682346463,0.2974932682346463,validation,False,0.9086389345010035,0.9107211170217685,0.0020821825207649747,0.7929104032291104,0.7415275039054637,-0.0513828993236467,0.8157554711821414,0.6678849760906702,-0.1478704950914712,0.7573850493834721,0.605680093719532,-0.15170495566394004
0,art_painting,100,O50,-0.03750892868275879,-0.30521614688566323,0.30521614688566323,validation,False,0.9086389345010035,0.9002332733859827,-0.008405661115020835,0.7929104032291104,0.7554014745463516,-0.03750892868275879,0.8157554711821414,0.6588633632518632,-0.1568921079302782,0.7573850493834721,0.6174666715431079,-0.1399183778403642
0,art_painting,100,REP,-0.04558045789669629,-0.12347894823272887,0.12347894823272887,validation,False,0.9086389345010035,0.8945433197379805,-0.014095614763023012,0.7929104032291104,0.7473299453324141,-0.04558045789669629,0.8157554711821414,0.762006292701617,-0.05374917848052441,0.7573850493834721,0.7017508943942906,-0.05563415498918145
0,art_painting,100,REP2,-0.07594207622823934,-0.04139261487334911,0.04139261487334911,validation,False,0.9086389345010035,0.9144707691505721,0.005831834649568601,0.7929104032291104,0.7169683270008711,-0.07594207622823934,0.8157554711821414,0.7977605596161096,-0.017994911566031835,0.7573850493834721,0.7281555114265862,-0.029229537956885876
0,cartoon,100,STD,-0.0313453975885869,-0.2163315994607855,0.2163315994607855,validation,False,0.9086389345010035,0.844058696275445,-0.06458023822555847,0.7929104032291104,0.6662611575135422,-0.12664924571556824,0.8157554711821414,0.7844100735935545,-0.0313453975885869,0.7573850493834721,0.7322829338638133,-0.025102115519658796
0,cartoon,100,O50,-0.06361278727348563,-0.36990139650138587,0.36990139650138587,validation,False,0.9086389345010035,0.8251918861723405,-0.08344704832866301,0.7929104032291104,0.6277966593812179,-0.16511374384789257,0.8157554711821414,0.7521426839086558,-0.06361278727348563,0.7573850493834721,0.6360444450586418,-0.12134060432483029
0,cartoon,100,REP,-0.01679089540437939,-0.014807553274198915,0.014807553274198915,validation,False,0.9086389345010035,0.9089567479445121,0.00031781344350856333,0.7929104032291104,0.7548211324330728,-0.03808927079603763,0.8157554711821414,0.798964575777762,-0.01679089540437939,0.7573850493834721,0.7803489534618022,0.022963904078330155
0,cartoon,100,REP2,-0.012100848386753515,-0.14748611720609428,0.14748611720609428,validation,False,0.9086389345010035,0.9139299397920088,0.005291005291005235,0.7929104032291104,0.7515969205173559,-0.0413134827117545,0.8157554711821414,0.8036546227953879,-0.012100848386753515,0.7573850493834721,0.645921409598127,-0.11146363978534501
0,sketch,100,STD,-0.1895304339806737,-1.1876474401624733,1.1876474401624733,validation,False,0.9086389345010035,0.4595616864963758,-0.4490772480046277,0.7929104032291104,0.26960818891578625,-0.5233022143133241,0.8157554711821414,0.6004874933376201,-0.21526797784452134,0.7573850493834721,0.5678546154027984,-0.1895304339806737
0,sketch,100,O50,-0.2693637999267681,-1.0623889399016022,1.0623889399016022,validation,False,0.9086389345010035,0.5605814317398617,-0.3480575027611418,0.7929104032291104,0.27266344610638177,-0.5202469571227286,0.8157554711821414,0.6216709911644095,-0.19408448001773193,0.7573850493834721,0.48802124945670394,-0.2693637999267681
0,sketch,100,REP,-0.17668095624419755,-0.07417652427837196,0.07417652427837196,validation,False,0.9086389345010035,0.8749677352092735,-0.033671199291730014,0.7929104032291104,0.7568257887077323,-0.03608461452137812,0.8157554711821414,0.8113347607168776,-0.004420710465263822,0.7573850493834721,0.5807040931392745,-0.17668095624419755
0,sketch,100,REP2,-0.1204081124875388,-0.16366070264085952,0.16366070264085952,validation,False,0.9086389345010035,0.8350651223287485,-0.073573812172255,0.7929104032291104,0.7050154704458373,-0.0878949327832731,0.8157554711821414,0.81356351349681,-0.002191957685331425,0.7573850493834721,0.6369769368959333,-0.1204081124875388
