scope,grouping,label_mode,budget,i,j,n,mean_gamma,std_gamma,median_gamma,min_gamma,max_gamma,fraction_positive,fraction_negative,bootstrap95_low,bootstrap95_high
pair,competence,true,5,1,4,10,0.0008333333333333526,0.0013417941431656942,0.0,0.0,0.002777777777777879,0.4,0.0,4.4408920985006264e-17,0.001666666666666683
pair,competence,true,5,2,3,10,0.0008183183183182896,0.001832969911814243,0.0,0.0,0.005405405405405239,0.2,0.0,0.0,0.002177177177177103
pair,competence,true,5,2,4,10,0.0005480480480480443,0.0017463989431478195,0.0,-0.002777777777777657,0.002777777777777879,0.3,0.1,-0.0005555555555555314,0.0016366366366365793
pair,competence,true,5,3,4,10,0.0005480480480480221,0.0017463989431477883,0.0,-0.002777777777777657,0.002777777777777657,0.3,0.1,-0.0005555555555555314,0.0016441441441440662
pair,competence,true,10,1,2,10,0.0014467408585055463,0.001999071106061908,8.169934640517296e-05,0.0,0.005643879173290789,0.5,0.0,0.00032679738562089165,0.0025993640699522704
pair,competence,true,10,1,3,10,7.507507507498179e-06,0.0018144264919929768,0.0,-0.002702702702702675,0.002777777777777657,0.2,0.2,-0.0010810810810810366,0.0010960960960960443
pair,competence,true,10,1,4,10,0.0003179650238473664,0.0009247444815376314,0.0,0.0,0.002941176470588225,0.2,0.0,0.0,0.0009062003179650113
pair,competence,true,10,2,3,10,0.0005785070785071178,0.0021967631165430357,0.0,-0.002702702702702675,0.005634920634920437,0.4,0.1,-0.0005330330330330041,0.0019757614757614727
pair,competence,true,10,2,4,10,0.0014295051353874321,0.0023996992557310764,0.0,-2.220446049250313e-16,0.0056438791732909,0.4,0.1,2.2522522522493426e-05,0.0031124738183560654
pair,competence,true,10,3,4,10,-0.0008271506800918815,0.001869004239805036,0.0,-0.002941176470588225,0.002777777777777657,0.1,0.4,-0.0019395866454690158,0.0002927927927927398
pair,competence,true,20,1,2,10,-0.0016688873747697564,0.0026782818412600484,-0.0013513513513513375,-0.005639589169000869,0.002777777777777657,0.1,0.6,-0.003090504580210486,-1.6339869281112306e-05
pair,competence,true,20,1,3,10,0.0014131652661064753,0.002697737303172033,0.002702702702702675,-0.002777777777777657,0.005634920634920881,0.7,0.2,-0.0002548369798368938,0.0028245612208848605
pair,competence,true,20,1,4,10,-0.00023891538597419214,0.0027603092827064185,-1.1102230246251565e-16,-0.002777777777777435,0.005555555555555536,0.2,0.5,-0.0016441441441439899,0.0016905140434551609
pair,competence,true,20,2,3,10,0.0005794029323441085,0.0021990366851141895,0.0,-0.0027820677820677986,0.002941176470588114,0.4,0.2,-0.0007948999419587377,0.0017315592903828115
pair,competence,true,20,2,4,10,0.0005869104398515956,0.0028657422039025603,0.0,-0.005405405405405461,0.005718954248366104,0.4,0.2,-0.0010810810810811145,0.0022712418300653513
pair,competence,true,20,3,4,10,0.000301625154566354,0.0020843667371764573,0.0,-0.002702702702702564,0.005718954248366104,0.1,0.1,-0.0008108108108107692,0.0017156862745098312
pair,competence,true,40,1,2,10,-0.0011446867035102004,0.00444022988191153,1.1102230246251565e-16,-0.008421656951068779,0.005634920634920659,0.5,0.4,-0.003702259507406564,0.0013804962525551417
pair,competence,true,40,1,3,10,-0.0014127362656773835,0.003251274681727232,-0.002777777777777768,-0.005480480480480554,0.005405405405405461,0.2,0.7,-0.00308820911247372,0.0005171221641810945
pair,competence,true,40,1,4,10,-0.0008514649102884797,0.0037865299107584056,-0.001351351351351393,-0.005643879173290789,0.008492063492063329,0.1,0.6,-0.0028294470941529707,0.0014283184444948728
pair,competence,true,40,2,3,10,-0.002144068438186064,0.0028309501464830384,-0.0012299694652634918,-0.008183183183183229,0.00016339869281045694,0.1,0.5,-0.004043038837156444,-0.0007130400358341043
pair,competence,true,40,2,4,10,0.0008969011027834429,0.003265009293986307,0.0,-0.002702702702702675,0.008567138567138533,0.4,0.3,-0.000787151121709945,0.003105705390264179
pair,competence,true,40,3,4,10,-0.0007785979256567432,0.002694981022235118,-0.001351351351351282,-0.002941176470588225,0.005714285714285672,0.3,0.5,-0.002184872372372365,0.0009658417871652531
pair,random,pseudo,5,1,2,10,7.93650793651235e-06,2.5097441747382042e-05,0.0,0.0,7.936507936512349e-05,0.1,0.0,0.0,2.3809523809537048e-05
pair,random,pseudo,5,1,3,10,0.0002777777777777768,0.0008784104611578409,0.0,0.0,0.002777777777777657,0.2,0.0,0.0,0.0008333333333333193
pair,random,pseudo,5,1,4,10,0.00028571428571428915,0.0009035079029052229,0.0,0.0,0.0028571428571427804,0.2,0.0,0.0,0.0008571428571428452
pair,random,pseudo,5,2,3,10,-0.0008333333333333193,0.002635231383473605,0.0,-0.008333333333333193,0.0,0.0,0.1,-0.002499999999999958,0.0
