seed,grouping,label_mode,budget,intervention,source_groups,actual_examples,validation_balanced_accuracy,test_balanced_accuracy
1,competence,true,40,3,[3],37,0.9525975975975974,0.9494082317611727
1,competence,true,40,4,[4],36,0.94981981981982,0.9495716304539833
1,competence,true,40,1+2,"[1,2]",76,0.94981981981982,0.9493331566860977
1,competence,true,40,1+3,"[1,3]",77,0.9525975975975974,0.9522743331566861
1,competence,true,40,1+4,"[1,4]",76,0.94981981981982,0.952274333156686
1,competence,true,40,2+3,"[2,3]",73,0.9525975975975974,0.9494082317611727
1,competence,true,40,2+4,"[2,4]",72,0.9555341055341057,0.9495716304539833
1,competence,true,40,3+4,"[3,4]",73,0.9554547404547404,0.9494082317611727
1,random,pseudo,5,0,[],0,0.9469626769626769,0.9466304539833951
1,random,pseudo,5,1,[1],5,0.9469626769626769,0.9495716304539833
1,random,pseudo,5,2,[2],5,0.9469626769626769,0.9466304539833951
1,random,pseudo,5,3,[3],5,0.9469626769626769,0.9466304539833951
1,random,pseudo,5,4,[4],5,0.9469626769626769,0.9466304539833951
1,random,pseudo,5,1+2,"[1,2]",10,0.9469626769626769,0.9495716304539833
1,random,pseudo,5,1+3,"[1,3]",10,0.9469626769626769,0.9495716304539833
1,random,pseudo,5,1+4,"[1,4]",10,0.9469626769626769,0.9495716304539833
1,random,pseudo,5,2+3,"[2,3]",10,0.9469626769626769,0.9466304539833951
1,random,pseudo,5,2+4,"[2,4]",10,0.9469626769626769,0.9466304539833951
1,random,pseudo,5,3+4,"[3,4]",10,0.9469626769626769,0.9466304539833951
1,random,pseudo,10,0,[],0,0.9469626769626769,0.9466304539833951
1,random,pseudo,10,1,[1],10,0.9469626769626769,0.9495716304539833
1,random,pseudo,10,2,[2],10,0.9469626769626769,0.9466304539833951
1,random,pseudo,10,3,[3],10,0.9469626769626769,0.9466304539833951
1,random,pseudo,10,4,[4],10,0.9469626769626769,0.9466304539833951
1,random,pseudo,10,1+2,"[1,2]",20,0.9469626769626769,0.9495716304539833
1,random,pseudo,10,1+3,"[1,3]",20,0.9469626769626769,0.9495716304539833
1,random,pseudo,10,1+4,"[1,4]",20,0.9469626769626769,0.9495716304539833
1,random,pseudo,10,2+3,"[2,3]",20,0.9469626769626769,0.9466304539833951
1,random,pseudo,10,2+4,"[2,4]",20,0.9469626769626769,0.9438526762056172
1,random,pseudo,10,3+4,"[3,4]",20,0.9469626769626769,0.9438526762056172
1,random,pseudo,20,0,[],0,0.9469626769626769,0.9466304539833951
1,random,pseudo,20,1,[1],20,0.9470420420420421,0.9467938526762056
1,random,pseudo,20,2,[2],20,0.9469626769626769,0.9466304539833951
1,random,pseudo,20,3,[3],20,0.9469626769626769,0.9493331566860977
1,random,pseudo,20,4,[4],20,0.9469626769626769,0.9438526762056172
1,random,pseudo,20,1+2,"[1,2]",40,0.9470420420420421,0.9494965553789083
1,random,pseudo,20,1+3,"[1,3]",40,0.94981981981982,0.9494965553789083
1,random,pseudo,20,1+4,"[1,4]",40,0.9470420420420421,0.9437776011305423
