seed,grouping,label_mode,budget,intervention,competence,score,delta
1,random,true,5,1,3,0.9459459459459459,0.0
1,random,true,5,1,4,0.9722222222222222,0.0
1,random,true,5,2,1,0.9433845610316199,0.0
1,random,true,5,2,2,0.9444444444444444,0.0
1,random,true,5,2,3,0.9459459459459459,0.0
1,random,true,5,2,4,0.9722222222222222,0.0
1,random,true,5,3,1,0.9433845610316199,0.0
1,random,true,5,3,2,0.9444444444444444,0.0
1,random,true,5,3,3,0.9459459459459459,0.0
1,random,true,5,3,4,0.9722222222222222,0.0
1,random,true,5,4,1,0.9433845610316199,0.0
1,random,true,5,4,2,0.9444444444444444,0.0
1,random,true,5,4,3,0.9459459459459459,0.0
1,random,true,5,4,4,0.9722222222222222,0.0
1,random,true,10,1,1,0.9475862417038889,0.004201680672269004
1,random,true,10,1,2,0.9444444444444444,0.0
1,random,true,10,1,3,0.9459459459459459,0.0
1,random,true,10,1,4,0.9722222222222222,0.0
1,random,true,10,2,1,0.9433845610316199,0.0
1,random,true,10,2,2,0.9444444444444444,0.0
1,random,true,10,2,3,0.9459459459459459,0.0
1,random,true,10,2,4,0.9722222222222222,0.0
1,random,true,10,3,1,0.9433845610316199,0.0
1,random,true,10,3,2,0.9444444444444444,0.0
1,random,true,10,3,3,0.9459459459459459,0.0
1,random,true,10,3,4,0.9722222222222222,0.0
1,random,true,10,4,1,0.9433845610316199,0.0
1,random,true,10,4,2,0.9444444444444444,0.0
1,random,true,10,4,3,0.9459459459459459,0.0
1,random,true,10,4,4,0.9722222222222222,0.0
1,random,true,20,1,1,0.9478196684079039,0.004435107376283942
1,random,true,20,1,2,0.9444444444444444,0.0
1,random,true,20,1,3,0.9459459459459459,0.0
1,random,true,20,1,4,0.9722222222222222,0.0
1,random,true,20,2,1,0.9433845610316199,0.0
1,random,true,20,2,2,0.9444444444444444,0.0
1,random,true,20,2,3,0.9459459459459459,0.0
1,random,true,20,2,4,0.9722222222222222,0.0
1,random,true,20,3,1,0.9433845610316199,0.0
1,random,true,20,3,2,0.9444444444444444,0.0
1,random,true,20,3,3,0.9459459459459459,0.0
1,random,true,20,3,4,0.9722222222222222,0.0
1,random,true,20,4,1,0.9433845610316199,0.0
1,random,true,20,4,2,0.9444444444444444,0.0
1,random,true,20,4,3,0.9459459459459459,0.0
1,random,true,20,4,4,0.9722222222222222,0.0
1,random,true,40,1,1,0.9475862417038889,0.004201680672269004
1,random,true,40,1,2,0.9444444444444444,0.0
1,random,true,40,1,3,0.972972972972973,0.027027027027027084
1,random,true,40,1,4,0.9722222222222222,0.0
1,random,true,40,2,1,0.9433845610316199,0.0
