seed,class,profile_0,profile_1,profile_2,profile_3,profile_4,profile_5,profile_6,profile_7,profile_8,profile_9
8,3,0.0,0.0,0.0,0.918918918918919,0.0,0.0,0.0,0.0,0.05405405405405406,0.02702702702702703
8,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,5,0.0,0.0,0.0,0.0,0.0,0.9722222222222222,0.0,0.0,0.0,0.027777777777777776
8,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9722222222222222,0.0,0.027777777777777776
8,8,0.0,0.02857142857142857,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.9428571428571428,0.0
8,9,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.9722222222222222
9,0,0.9714285714285714,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1,0.0,0.9166666666666666,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0
9,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,4,0.0,0.02702702702702703,0.0,0.0,0.972972972972973,0.0,0.0,0.0,0.0,0.0
9,5,0.0,0.0,0.02702702702702703,0.0,0.0,0.9459459459459459,0.02702702702702703,0.0,0.0,0.0
9,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
9,7,0.0,0.0,0.0,0.027777777777777776,0.027777777777777776,0.0,0.0,0.9444444444444444,0.0,0.0
9,8,0.0,0.029411764705882353,0.0,0.0,0.029411764705882353,0.0,0.0,0.029411764705882353,0.9117647058823529,0.0
9,9,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.9166666666666666
