seed,domain,N,c,h,kappa,rho,DeltaV,Omega,kappa_star,kappa_star_error,sep_action,hls_action,sepomega_action,J_SEP,J_HLS,J_SEP_Omega,DeltaJ,Delta_coord,action_match,coord_error
2,sketch,25,0.0,5,0.00333921584207586,-0.11340948304623966,0.001335686336830344,0.00333921584207586,0.00667843168415172,0.0,"D,REP","D,REP","D,REP",4.860624604781589,4.860624604781589,4.860624604781589,0.0,0.0,True,0.0
2,sketch,25,0.0,5,0.00667843168415172,-0.11340948304623966,0.001335686336830344,0.0,0.00667843168415172,0.0,"D,0","D,0","D,0",4.857285388939513,4.857285388939513,4.857285388939513,0.0,0.0,True,0.0
2,sketch,25,0.0,5,1.0066784316841517,-0.11340948304623966,0.001335686336830344,0.0,0.00667843168415172,0.0,"D,0","D,0","D,0",4.857285388939513,4.857285388939513,4.857285388939513,0.0,0.0,True,0.0
2,sketch,25,0.0,10,0.0,-0.11340948304623966,0.001335686336830344,0.01335686336830344,0.01335686336830344,0.0,"D,REP","D,REP","D,REP",8.942194839705367,8.942194839705367,8.942194839705367,0.0,0.0,True,0.0
2,sketch,25,0.0,10,0.00667843168415172,-0.11340948304623966,0.001335686336830344,0.00667843168415172,0.01335686336830344,0.0,"D,REP","D,REP","D,REP",8.935516408021215,8.935516408021215,8.935516408021215,0.0,0.0,True,0.0
2,sketch,25,0.0,10,0.01335686336830344,-0.11340948304623966,0.001335686336830344,0.0,0.01335686336830344,0.0,"D,0","D,0","D,0",8.928837976337064,8.928837976337064,8.928837976337064,0.0,0.0,True,0.0
2,sketch,25,0.0,10,1.0133568633683034,-0.11340948304623966,0.001335686336830344,0.0,0.01335686336830344,0.0,"D,0","D,0","D,0",8.928837976337064,8.928837976337064,8.928837976337064,0.0,0.0,True,0.0
2,sketch,25,0.02,1,0.0,-0.09340948304623964,0.001335686336830344,0.001335686336830344,0.001335686336830344,0.0,"D,REP","D,REP","D,REP",1.571379005358303,1.571379005358303,1.571379005358303,0.0,0.0,True,0.0
2,sketch,25,0.02,1,0.000667843168415172,-0.09340948304623964,0.001335686336830344,0.000667843168415172,0.001335686336830344,0.0,"D,REP","D,REP","D,REP",1.5707111621898877,1.5707111621898877,1.5707111621898877,0.0,0.0,True,0.0
2,sketch,25,0.02,1,0.001335686336830344,-0.09340948304623964,0.001335686336830344,0.0,0.001335686336830344,0.0,"D,0","D,0","D,0",1.5700433190214724,1.5700433190214724,1.5700433190214724,0.0,0.0,True,0.0
2,sketch,25,0.02,1,1.0013356863368303,-0.09340948304623964,0.001335686336830344,0.0,0.001335686336830344,0.0,"D,0","D,0","D,0",1.5700433190214724,1.5700433190214724,1.5700433190214724,0.0,0.0,True,0.0
2,sketch,25,0.02,2,0.0,-0.09340948304623964,0.001335686336830344,0.002671372673660688,0.002671372673660688,0.0,"D,REP","D,REP","D,REP",2.3770252091746435,2.3770252091746435,2.3770252091746435,0.0,0.0,True,0.0
