domain,N,c,B,n_seeds,n_integration_changes,n_current_fast,n_noncompensating,mean_rho,std_rho,mean_DeltaV,std_DeltaV,mean_H,std_H,mean_DeltaV_local,mean_DeltaV_cross
cartoon,100,0.02,1,5,0,5,5,0.052675595812618915,0.023630649501426022,-0.014645474829418581,0.012187332240201609,-0.06732107064203749,0.03064077288676417,-0.00814590838712389,-0.006499566442294736
cartoon,100,0.02,2,5,0,5,5,0.052675595812618915,0.023630649501426022,-0.014645474829418581,0.012187332240201609,-0.08196654547145607,0.040204085173069094,-0.00814590838712389,-0.006499566442294736
cartoon,100,0.02,5,5,0,5,5,0.052675595812618915,0.023630649501426022,-0.014645474829418581,0.012187332240201609,-0.1259029699597118,0.07369718973417834,-0.00814590838712389,-0.006499566442294736
cartoon,100,0.02,10,5,0,5,5,0.052675595812618915,0.023630649501426022,-0.014645474829418581,0.012187332240201609,-0.19913034410680472,0.13315666453551844,-0.00814590838712389,-0.006499566442294736
cartoon,100,0.05,1,5,0,5,5,0.08267559581261893,0.02363064950142602,-0.024789108088472744,0.012783168115315841,-0.10746470390109168,0.03036677122172447,-0.008869085961528517,-0.015920022126944162
cartoon,100,0.05,2,5,0,5,5,0.08267559581261893,0.02363064950142602,-0.024789108088472744,0.012783168115315841,-0.13225381198956443,0.04015834617031329,-0.008869085961528517,-0.015920022126944162
cartoon,100,0.05,5,5,0,5,5,0.08267559581261893,0.02363064950142602,-0.024789108088472744,0.012783168115315841,-0.20662113625498266,0.07513495411600604,-0.008869085961528517,-0.015920022126944162
cartoon,100,0.05,10,5,0,5,5,0.08267559581261893,0.02363064950142602,-0.024789108088472744,0.012783168115315841,-0.3305666766973464,0.13748666996254874,-0.008869085961528517,-0.015920022126944162
cartoon,100,0.1,1,5,0,5,5,0.13267559581261887,0.02363064950142602,-0.05595780595615356,0.010564937544666888,-0.18863340176877244,0.02776857626064741,-0.008869085961528517,-0.04708871999462496
cartoon,100,0.1,2,5,0,5,5,0.13267559581261887,0.02363064950142602,-0.05595780595615356,0.010564937544666888,-0.244591207724926,0.03474213392802693,-0.008869085961528517,-0.04708871999462496
cartoon,100,0.1,5,5,0,5,5,0.13267559581261887,0.02363064950142602,-0.05595780595615356,0.010564937544666888,-0.41246462559338665,0.062082178285996145,-0.008869085961528517,-0.04708871999462496
cartoon,100,0.1,10,5,0,5,5,0.13267559581261887,0.02363064950142602,-0.05595780595615356,0.010564937544666888,-0.6922536553741545,0.11283120752586484,-0.008869085961528517,-0.04708871999462496
cartoon,100,0.15,1,5,0,5,5,0.1826755958126189,0.02363064950142602,-0.08397789588162138,0.010542379056453128,-0.26665349169424035,0.02130617379639679,-0.008869085961528517,-0.07510880992009278
cartoon,100,0.15,2,5,0,5,5,0.1826755958126189,0.02363064950142602,-0.08397789588162138,0.010542379056453128,-0.3506313875758617,0.023911963536380046,-0.008869085961528517,-0.07510880992009278
cartoon,100,0.15,5,5,0,5,5,0.1826755958126189,0.02363064950142602,-0.08397789588162138,0.010542379056453128,-0.6025650752207259,0.04752862242031827,-0.008869085961528517,-0.07510880992009278
cartoon,100,0.15,10,5,0,5,5,0.1826755958126189,0.02363064950142602,-0.08397789588162138,0.010542379056453128,-1.0224545546288328,0.0975531655610631,-0.008869085961528517,-0.07510880992009278
photo,25,0.0,1,5,0,0,0,-0.049830964510767475,0.025045943875832012,-0.009844853621654104,0.006856655443171409,0.03998611088911337,0.028611324666190412,0.0,-0.009844853621654177
photo,25,0.0,2,5,0,0,0,-0.049830964510767475,0.025045943875832012,-0.009844853621654104,0.006856655443171409,0.030141257267459264,0.03322565185831166,0.0,-0.009844853621654177
photo,25,0.0,5,5,0,0,0,-0.049830964510767475,0.025045943875832012,-0.009844853621654104,0.006856655443171409,0.0006066964024969534,0.05024058871642442,0.0,-0.009844853621654177
photo,25,0.0,10,5,0,0,0,-0.049830964510767475,0.025045943875832012,-0.009844853621654104,0.006856655443171409,-0.04861757170577356,0.08228985598379125,0.0,-0.009844853621654177
photo,25,0.02,1,5,0,0,0,-0.029830964510767454,0.025045943875832012,-0.013931044734543364,0.007968756747136724,0.01589991977622409,0.028859250795774203,0.0005268758349959712,-0.014457920569539373
photo,25,0.02,2,5,0,0,0,-0.029830964510767454,0.025045943875832012,-0.013931044734543364,0.007968756747136724,0.001968875041680729,0.0341381835566208,0.0005268758349959712,-0.014457920569539373
photo,25,0.02,5,5,0,0,0,-0.029830964510767454,0.025045943875832012,-0.013931044734543364,0.007968756747136724,-0.03982425916194936,0.05408425136620089,0.0005268758349959712,-0.014457920569539373
photo,25,0.02,10,5,0,0,0,-0.029830964510767454,0.025045943875832012,-0.013931044734543364,0.007968756747136724,-0.10947948283466617,0.0916404244414294,0.0005268758349959712,-0.014457920569539373
photo,25,0.05,1,5,0,2,2,0.00016903548923257182,0.025045943875832012,-0.01916484360501971,0.010625149570839532,-0.01933387909425228,0.029421784608627176,0.0021807502841985626,-0.021345593889218258
photo,25,0.05,2,5,0,2,2,0.00016903548923257182,0.025045943875832012,-0.01916484360501971,0.010625149570839532,-0.038498722699271994,0.036466026946830904,0.0021807502841985626,-0.021345593889218258
photo,25,0.05,5,5,0,2,2,0.00016903548923257182,0.025045943875832012,-0.01916484360501971,0.010625149570839532,-0.09599325351433112,0.06385049645313007,0.0021807502841985626,-0.021345593889218258
photo,25,0.05,10,5,0,2,2,0.00016903548923257182,0.025045943875832012,-0.01916484360501971,0.010625149570839532,-0.19181747153942968,0.11476568590012697,0.0021807502841985626,-0.021345593889218258
photo,25,0.1,1,5,0,5,5,0.0501690354892325,0.025045943875832012,-0.029592210779837157,0.010839224474063896,-0.07976124626906966,0.030169163767222847,0.004000108880531572,-0.033592319660368665
