scope,N,intervention_domain,affected_domain,n,mean,std,median,min,max,n_positive,n_zero,n_negative,fraction_positive,fraction_zero,fraction_negative
matrix_by_N,50,sketch,cartoon,5,-0.20198469726683327,0.10944595594293913,-0.17498436276657592,-0.39160664213764634,-0.1251435734593589,0,0,5,0.0,0.0,1.0
matrix_by_N,50,sketch,sketch,5,-0.17279310616684515,0.05768870604759968,-0.1597603849400731,-0.2579184345980932,-0.10018512506582888,0,0,5,0.0,0.0,1.0
matrix_by_N,100,art_painting,photo,5,-0.006952797071977113,0.020814213484229616,0.0018799887542935156,-0.03413888111170815,0.01579986833443059,3,0,2,0.6,0.0,0.4
matrix_by_N,100,art_painting,art_painting,5,-0.0441494659113348,0.037532048215329815,-0.032527376144627196,-0.08220961073615107,0.0050785278761935615,1,0,4,0.2,0.0,0.8
matrix_by_N,100,art_painting,cartoon,5,-0.12063448283314529,0.032903026926156445,-0.10115058349320283,-0.16967977226956166,-0.09599270560828876,0,0,5,0.0,0.0,1.0
matrix_by_N,100,art_painting,sketch,5,-0.18174472572890615,0.045053381536911886,-0.19676013061266512,-0.20911802904134946,-0.10172666616519821,0,0,5,0.0,0.0,1.0
matrix_by_N,100,cartoon,photo,5,-0.07270886613489506,0.03023657124658322,-0.07405452602496942,-0.10369231118476296,-0.03277599565538558,0,0,5,0.0,0.0,1.0
matrix_by_N,100,cartoon,art_painting,5,-0.17425104580222803,0.05168961996311837,-0.17705558990017956,-0.2301268451868833,-0.09438854993225976,0,0,5,0.0,0.0,1.0
matrix_by_N,100,cartoon,cartoon,5,-0.03547634384611407,0.019029562084320054,-0.03766309658902545,-0.05661074382925413,-0.0073446205992081515,0,0,5,0.0,0.0,1.0
matrix_by_N,100,cartoon,sketch,5,-0.13425480247136745,0.04477157028617376,-0.14672499009476037,-0.18295357452542005,-0.06552748397675934,0,0,5,0.0,0.0,1.0
matrix_by_N,100,photo,photo,5,0.027461687925695522,0.028036982087150154,0.04025447776440949,-0.005277973258268842,0.0539034301150938,3,0,2,0.6,0.0,0.4
matrix_by_N,100,photo,art_painting,5,-0.06728740577481765,0.044033000911593484,-0.04333170542363263,-0.1410413026168834,-0.03823782982687707,0,0,5,0.0,0.0,1.0
matrix_by_N,100,photo,cartoon,5,-0.1733680908850384,0.04968512178857164,-0.1726519991135752,-0.23421164076758494,-0.1130377781468066,0,0,5,0.0,0.0,1.0
matrix_by_N,100,photo,sketch,5,-0.26321798271937447,0.03541046650699592,-0.28236471576376765,-0.29320143720515546,-0.20818581385790924,0,0,5,0.0,0.0,1.0
matrix_by_N,100,sketch,photo,5,-0.5132148912349134,0.05067329880215727,-0.5238044015415699,-0.5749308671682738,-0.43551946490926313,0,0,5,0.0,0.0,1.0
matrix_by_N,100,sketch,art_painting,5,-0.49698609591252313,0.06561137508759424,-0.5170703818578277,-0.5651784934974251,-0.389975690340408,0,0,5,0.0,0.0,1.0
matrix_by_N,100,sketch,cartoon,5,-0.27875454569219515,0.029908832996836162,-0.2857830577291781,-0.3068547589591063,-0.24107382471117011,0,0,5,0.0,0.0,1.0
matrix_by_N,100,sketch,sketch,5,-0.22717807868157552,0.05259190173359963,-0.23959619807369253,-0.28071771149027824,-0.13934575759907308,0,0,5,0.0,0.0,1.0
