delta,b,s,ell,h,valid,dV_analytic,classification
0.3,-0.95,-0.5666666666666667,0.13,-0.13499999999999998,False,,
0.3,-0.95,-0.535,0.13949999999999999,-0.13499999999999998,False,,
0.3,-0.95,-0.5033333333333334,0.14899999999999997,-0.13499999999999998,False,,
0.3,-0.95,-0.4716666666666667,0.1585,-0.13499999999999998,False,,
0.3,-0.95,-0.44000000000000006,0.16799999999999998,-0.13499999999999998,False,,
0.3,-0.95,-0.40833333333333344,0.17749999999999996,-0.13499999999999998,False,,
0.3,-0.95,-0.3766666666666667,0.187,-0.13499999999999998,False,,
0.3,-0.95,-0.3450000000000001,0.19649999999999995,-0.13499999999999998,False,,
0.3,-0.95,-0.31333333333333346,0.20599999999999996,-0.13499999999999998,False,,
0.3,-0.95,-0.28166666666666673,0.21549999999999997,-0.13499999999999998,False,,
0.3,-0.95,-0.2500000000000001,0.22499999999999998,-0.13499999999999998,False,,
0.3,-0.95,-0.21833333333333338,0.2345,-0.13499999999999998,False,,
0.3,-0.95,-0.18666666666666676,0.24399999999999997,-0.13499999999999998,False,,
0.3,-0.95,-0.15500000000000003,0.2535,-0.13499999999999998,False,,
0.3,-0.95,-0.12333333333333352,0.26299999999999996,-0.13499999999999998,False,,
0.3,-0.95,-0.09166666666666679,0.27249999999999996,-0.13499999999999998,False,,
0.3,-0.95,-0.06000000000000005,0.282,-0.13499999999999998,False,,
0.3,-0.95,-0.028333333333333544,0.2914999999999999,-0.13499999999999998,False,,
0.3,-0.95,0.0033333333333331883,0.30099999999999993,-0.13499999999999998,False,,
